year,cuisine,tier,count
2021,South-east Asia,3,88
2021,South-east Asia,4,30
2021,Taiwan,1,119
2021,Taiwan,2,48
2021,Taiwan,3,141
2021,Taiwan,4,83
2021,Thai,1,105
2021,Thai,2,61
2021,Thai,3,205
2021,Thai,4,77
2021,Vietnamese,1,42
2021,Vietnamese,2,23
2021,Vietnamese,3,44
2021,Vietnamese,4,19
2021,Western,1,1526
2021,Western,2,445
2021,Western,3,1297
2021,Western,4,555
2022,Hong Kong Style,1,822
2022,Hong Kong Style,2,411
2022,Hong Kong Style,3,1976
2022,Hong Kong Style,4,1056
2022,Japanese,1,677
2022,Japanese,2,223
2022,Japanese,3,556
2022,Japanese,4,196
2022,Korean,1,121
2022,Korean,2,30
2022,Korean,3,72
2022,Korean,4,23
2022,Mainland China,1,767
2022,Mainland China,2,348
2022,Mainland China,3,1322
2022,Mainland China,4,652
2022,Other,1,71
2022,Other,2,6
2022,Other,3,59
2022,Other,4,19
2022,South-east Asia,1,79
2022,South-east Asia,2,24
2022,South-east Asia,3,98
2022,South-east Asia,4,30
2022,Taiwan,1,128
2022,Taiwan,2,54
2022,Taiwan,3,154
2022,Taiwan,4,83
2022,Thai,1,99
2022,Thai,2,56
2022,Thai,3,200
2022,Thai,4,75
2022,Vietnamese,1,40
2022,Vietnamese,2,21
2022,Vietnamese,3,34
2022,Vietnamese,4,19
2022,Western,1,1601
2022,Western,2,460
2022,Western,3,1331
2022,Western,4,565
2023,Hong Kong Style,1,808
2023,Hong Kong Style,2,403
2023,Hong Kong Style,3,1994
2023,Hong Kong Style,4,1059
2023,Japanese,1,772
2023,Japanese,2,246
2023,Japanese,3,616
2023,Japanese,4,199
2023,Korean,1,121
2023,Korean,2,28
2023,Korean,3,88
2023,Korean,4,28
2023,Mainland China,1,811
2023,Mainland China,2,362
2023,Mainland China,3,1381
2023,Mainland China,4,687
2023,Other,1,80
2023,Other,2,8
2023,Other,3,62
2023,Other,4,19
2023,South-east Asia,1,89
2023,South-east Asia,2,30
2023,South-east Asia,3,105
2023,South-east Asia,4,36
2023,Taiwan,1,131
2023,Taiwan,2,59
2023,Taiwan,3,166
2023,Taiwan,4,88
2023,Thai,1,110
2023,Thai,2,58
2023,Thai,3,211
2023,Thai,4,82
2023,Vietnamese,1,40
2023,Vietnamese,2,19
2023,Vietnamese,3,34
2023,Vietnamese,4,15
2023,Western,1,1660
2023,Western,2,486
2023,Western,3,1389
2023,Western,4,591
2024,Hong Kong Style,1,817
2024,Hong Kong Style,2,413
2024,Hong Kong Style,3,2045
2024,Hong Kong Style,4,1111
2024,Japanese,1,815
2024,Japanese,2,279
2024,Japanese,3,640
2024,Japanese,4,228
2024,Korean,1,129
2024,Korean,2,38
2024,Korean,3,100
2024,Korean,4,28
2024,Mainland China,1,866
2024,Mainland China,2,379
2024,Mainland China,3,1460
2024,Mainland China,4,703
2024,Other,1,84
2024,Other,2,10
2024,Other,3,61
2024,Other,4,22
2024,South-east Asia,1,88
